,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-06,116.1903305053711,133.71762084960938,38.08928298950195,193.8800048828125,126.5999984741211,153.1199951171875,42.36000061035156,193.8800048828125,129.3699951171875,155.02999877929688,43.11000061035156,200.75,126.26000213623047,152.80999755859375,42.150001525878906,192.14999389648438,128.39999389648438,153.9199981689453,43.0,199.2100067138672,72842100,3556200,36248800,6712400
2015-03-09,116.68592071533203,135.14109802246094,38.52988052368164,190.8800048828125,127.13999938964844,154.75,42.849998474121094,190.8800048828125,129.57000732421875,155.61000061035156,43.130001068115234,194.49000549316406,125.05999755859375,153.14999389648438,42.189998626708984,188.25,127.95999908447266,153.3000030517578,42.189998626708984,194.38999938964844,88528500,3433000,32108000,6736700
2015-03-10,114.27217102050781,133.10629272460938,37.79254913330078,190.32000732421875,124.51000213623047,152.4199981689453,42.029998779296875,190.32000732421875,127.22000122070312,154.1300048828125,42.709999084472656,193.5,123.80000305175781,152.4199981689453,42.029998779296875,187.60000610351562,126.41000366210938,153.3000030517578,42.349998474121094,188.4600067138672,68856600,3839600,39159700,5579700
2015-03-11,112.1888427734375,132.0147247314453,37.74759292602539,193.74000549316406,122.23999786376953,151.1699981689453,41.97999954223633,193.74000549316406,124.7699966430664,152.69000244140625,42.369998931884766,196.17999267578125,122.11000061035156,151.1699981689453,41.84000015258789,191.00999450683594,124.75,152.50999450683594,42.310001373291016,191.14999389648438,68939000,3395400,32215300,4974900
2015-03-12,114.21710968017578,132.77447509765625,36.88438034057617,191.07000732421875,124.44999694824219,152.0399932861328,41.02000045776367,191.07000732421875,124.9000015258789,152.9199981689453,41.650001525878906,194.4499969482422,121.62999725341797,151.27999877929688,40.86000061035156,189.75,122.30999755859375,151.27999877929688,41.33000183105469,193.75,48362700,2965100,59992500,4149300
2015-03-13,113.42781829833984,132.3640594482422,37.20808792114258,188.67999267578125,123.58999633789062,151.57000732421875,41.380001068115234,188.67999267578125,125.4000015258789,152.38999938964844,41.470001220703125,191.75,122.58000183105469,149.7899932861328,40.61000061035156,187.32000732421875,124.4000015258789,151.88999938964844,40.70000076293945,188.9499969482422,51827300,3569600,58007700,5434300
2015-03-16,114.6760025024414,134.1979522705078,37.36993408203125,195.6999969482422,124.94999694824219,153.6699981689453,41.560001373291016,195.6999969482422,124.94999694824219,154.19000244140625,41.63999938964844,195.91000366210938,122.87000274658203,152.27000427246094,41.279998779296875,189.8000030517578,123.87999725341797,152.38999938964844,41.470001220703125,192.0,35874300,2742900,35273500,5628800
2015-03-17,116.5941390991211,134.93150329589844,37.495826721191406,194.72999572753906,127.04000091552734,154.50999450683594,41.70000076293945,194.72999572753906,127.31999969482422,155.0,41.83000183105469,198.7100067138672,125.6500015258789,152.72999572753906,41.150001525878906,193.94000244140625,125.9000015258789,152.8800048828125,41.369998931884766,195.42999267578125,51023100,2927200,31673400,4894100
2015-03-18,117.90654754638672,135.9968719482422,38.21516418457031,200.7100067138672,128.47000122070312,155.72999572753906,42.5,200.7100067138672,129.16000366210938,155.99000549316406,42.83000183105469,200.8800048828125,126.37000274658203,152.11000061035156,41.33000183105469,193.11000061035156,127.0,154.0399932861328,41.43000030517578,194.9600067138672,65270900,4053600,44194800,4820900
2015-03-19,117.01634216308594,134.58221435546875,38.026344299316406,195.64999389648438,127.5,154.11000061035156,42.290000915527344,195.64999389648438,129.25,155.3300018310547,42.59000015258789,204.58999633789062,127.4000015258789,153.66000366210938,42.220001220703125,194.52999877929688,128.75,154.91000366210938,42.2599983215332,202.0,45809500,2539000,33879100,8475200
